LegacyAsOfDate,LegacyFirmId,LegacyTransRef,LegacyLoanPurchase,LegacyOrigProviderFRN,LegacyOutstandingBalance,LegacyValueLinkedAccounts,LegacyIncentivisedRate,LegacyRemainingTerm,LegacyMonthsPastMaturity,LegacyReasonForClosure,LegacyCurrentPaymentShortfall,LegacyArrearsStartDate,LegacyPaymentShortfallArrangement,LegacyDateFormalArrangement,LegacyPaymentShortfallCapitalisation,LegacyCapitalisationDate,LegacySwitchInterestOnly,LegacyInterestOnlyDate,LegacyPaymentsSuspended,LegacyDatesPaymentsSuspended,LegacyReducedPayments,LegacyDateReducedPayments,LegacyTermExtension,LegacyDateTermExtension,LegacyOtherForbearance,LegacyDateOtherForbearance,LegacyDateLitigationStarted,LegacyPossessionOrder,LegacyDatePossession,LegacyRepossessionSaleValueAchieved ,LegacyDateofBalance,LegacySecondChargeMortgage,LegacyBeneficialOwnerRegFirm,LegacyBeneficialOwnerFRN,LegacyBeneficialOwnerName,LegacyLegalOwnerRegFirm,LegacyLegalOwnerFRN,LegacyLegalOwnerName,LegacyClosedBook
2020-06-01,123456,AC336014,N,123465,0,100000,Y,330,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336013,Y,123465,0,100000,Y,262,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336012,N,123465,0,100000,Y,308,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336011,N,123465,0,100000,Y,238,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336010,N,123465,0,100000,Y,88,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336009,Y,123465,0,100000,Y,203,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336008,Y,123465,0,100000,N,88,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336007,Y,123465,54627,100000,Y,124,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336006,N,123465,0,100000,Y,284,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336005,Y,123465,0,100000,Y,193,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336004,Y,123465,0,100000,Y,88,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336003,Y,123465,0,100000,Y,200,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336002,N,123465,0,100000,Y,281,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336001,Y,123465,0,100000,Y,175,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC336000,Y,123465,0,100000,Y,260,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335999,N,123465,0,100000,Y,40,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335998,Y,123465,0,100000,Y,253,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335997,N,123465,0,100000,Y,224,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335996,Y,123465,0,100000,Y,239,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335995,N,123465,0,100000,Y,110,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335994,N,123465,0,100000,Y,159,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335993,Y,123465,0,100000,Y,68,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335992,N,123465,129950,100000,Y,238,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335991,N,123465,0,100000,Y,157,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335990,N,123465,0,100000,Y,316,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335989,Y,123465,0,100000,Y,164,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335988,N,123465,0,100000,Y,223,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335987,Y,123465,133673,100000,Y,265,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335986,N,123465,0,100000,Y,109,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335985,N,123465,45103,100000,Y,259,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335984,Y,123465,267631,100000,Y,87,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335983,Y,123465,0,100000,Y,313,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335982,N,123465,0,100000,Y,231,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335981,Y,123465,0,100000,Y,271,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335980,Y,123465,0,100000,Y,66,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335979,Y,123465,0,100000,Y,153,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335978,Y,123465,45176,100000,Y,255,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335977,N,123465,3678,100000,Y,106,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335976,Y,123465,0,100000,Y,43,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335975,Y,123465,0,100000,Y,119,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335974,N,123465,0,100000,Y,176,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335973,Y,123465,0,100000,Y,58,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335972,Y,123465,267119,100000,Y,266,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335971,N,123465,29321,100000,Y,89,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335970,Y,123465,0,100000,Y,193,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335969,N,123465,0,100000,Y,325,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335968,Y,123465,0,100000,Y,136,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335967,Y,123465,0,100000,Y,244,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335966,N,123465,47846,100000,Y,338,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335965,Y,123465,0,100000,Y,75,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335964,N,123465,12328,100000,Y,97,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335963,N,123465,181127,100000,Y,166,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335962,Y,123465,0,100000,Y,91,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335961,Y,123465,0,100000,Y,296,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335960,N,123465,36445,100000,Y,148,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335959,Y,123465,0,100000,Y,272,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335958,N,123465,120649,100000,Y,313,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-06-01,123456,AC335957,Y,123465,67273,100000,Y,282,0, repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-06-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
