LegacyAsOfDate,LegacyFirmId,LegacyTransRef,LegacyLoanPurchase,LegacyOrigProviderFRN,LegacyOutstandingBalance,LegacyValueLinkedAccounts,LegacyIncentivisedRate,LegacyRemainingTerm,LegacyMonthsPastMaturity,LegacyReasonForClosure,LegacyCurrentPaymentShortfall,LegacyArrearsStartDate,LegacyPaymentShortfallArrangement,LegacyDateFormalArrangement,LegacyPaymentShortfallCapitalisation,LegacyCapitalisationDate,LegacySwitchInterestOnly,LegacyInterestOnlyDate,LegacyPaymentsSuspended,LegacyDatesPaymentsSuspended,LegacyReducedPayments,LegacyDateReducedPayments,LegacyTermExtension,LegacyDateTermExtension,LegacyOtherForbearance,LegacyDateOtherForbearance,LegacyDateLitigationStarted,LegacyPossessionOrder,LegacyDatePossession,LegacyRepossessionSaleValueAchieved ,LegacyDateofBalance,LegacySecondChargeMortgage,LegacyBeneficialOwnerRegFirm,LegacyBeneficialOwnerFRN,LegacyBeneficialOwnerName,LegacyLegalOwnerRegFirm,LegacyLegalOwnerFRN,LegacyLegalOwnerName,LegacyClosedBook
2020-01-04,123456,AC353030,N,123465,105623,100000,Y,168,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353029,N,123465,373128,100000,Y,123,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353028,Y,123465,468552,100000,Y,155,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353027,N,123465,654006,100000,Y,160,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353026,Y,123465,120426,100000,Y,85,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353025,N,123465,284668,100000,Y,164,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353024,N,123465,815232,100000,Y,181,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353023,N,123465,264462,100000,Y,111,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353022,Y,123465,251142,100000,Y,150,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353021,N,123465,285366,100000,Y,151,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353020,Y,123465,665946,100000,Y,306,0, voluntary repossession,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353019,Y,123465,185784,100000,Y,177,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353018,Y,123465,65562,100000,Y,269,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353017,Y,123465,261528,100000,Y,130,0, assisted sale ,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353016,Y,123465,554346,100000,Y,120,0," moved to a different property, mortgage taken with same lender (includes porting)",0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353015,N,123465,120936,100000,Y,30,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353014,N,123465,298662,100000,Y,233,0, other,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
2020-01-04,123456,AC353013,N,123465,626844,100000,Y,117,0, remortgage to same lender,0,,N,,N,,N,,N,,N,,N,,N,,,N,,0,2020-02-01,N,N,Y,123465,SPV,Y,123465,XYZ Plc
